User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,Game Mode,Min Number of Players,user_rating_class
28.0,2,21.89,0,1,6,0,57.4,1,3,1,0,1,1
28.4,0,26.33,2,0,5,0,52.5,2,0,1,1,3,1
16.5,3,21.09,0,0,3,1,26.2,0,0,2,0,3,0
24.4,3,33.28,2,0,2,1,20.5,0,1,3,0,3,0
29.6,1,52.87,4,1,1,0,16.8,3,1,1,0,7,1
27.2,3,28.51,2,1,5,1,36.5,0,0,2,0,5,1
30.5,3,51.17,1,0,5,1,16.0,2,3,1,1,6,1
34.3,3,56.79,4,0,6,1,16.6,0,3,2,1,8,1
28.4,3,43.15,1,0,7,0,21.5,2,2,0,1,4,1
39.5,2,47.67,0,0,0,1,50.8,2,0,2,0,5,2
23.9,3,46.84,0,0,6,1,7.6,2,3,1,0,8,0
31.8,3,59.39,1,1,0,1,11.7,2,2,3,1,3,1
18.7,2,22.24,2,0,5,0,22.5,2,3,3,0,2,0
34.9,1,44.52,2,0,0,0,43.7,3,2,0,1,3,1
17.1,0,29.09,1,0,2,1,5.7,2,2,2,1,2,0
18.9,1,21.53,0,0,1,1,31.1,2,3,3,0,6,0
41.9,2,57.66,3,0,3,0,48.2,0,0,1,0,1,2
14.8,3,21.55,3,1,7,0,17.8,3,1,0,1,7,0
26.2,3,27.38,0,1,3,1,41.3,1,1,1,1,6,1
34.0,3,45.15,3,1,6,1,39.1,2,2,0,0,7,1
26.9,0,40.08,1,1,4,1,20.3,0,1,2,0,7,1
23.6,3,31.34,4,0,0,1,29.9,0,1,3,0,3,0
23.7,0,32.32,2,0,5,1,23.5,3,2,2,0,3,0
16.7,0,23.09,4,0,8,1,15.3,0,0,2,0,8,0
20.0,0,22.46,1,0,3,0,29.1,2,3,1,0,6,0
40.8,3,53.63,0,0,7,1,45.3,2,1,1,0,2,2
35.5,3,32.8,1,1,7,0,57.1,1,3,1,1,2,2
32.2,0,53.98,1,0,3,0,14.5,1,2,1,1,10,1
28.3,1,30.75,2,1,7,1,48.7,0,1,1,0,2,1
28.5,3,36.28,3,0,4,0,28.1,1,0,3,1,7,1
38.5,2,48.99,3,1,1,1,45.4,1,0,2,1,5,2
39.8,2,49.08,4,0,3,1,52.9,3,3,1,0,3,2
27.2,1,29.06,4,1,6,0,39.3,0,2,2,1,3,1
31.6,3,41.1,3,0,4,1,31.7,2,0,3,1,7,1
22.9,2,37.32,3,0,3,1,10.2,1,2,0,0,8,0
44.5,2,57.17,2,0,8,1,54.3,1,1,3,1,1,2
19.3,2,25.78,2,1,9,1,21.9,1,2,2,1,10,0
22.6,3,27.51,4,1,7,0,33.5,2,0,3,0,8,0
22.7,3,38.91,1,1,6,0,16.0,2,2,2,0,7,0
36.4,2,34.26,4,0,4,0,59.2,2,0,0,1,6,2
22.9,1,24.81,4,0,2,1,29.6,0,3,2,0,10,0
28.6,0,57.05,2,0,4,1,6.4,3,3,3,0,6,1
37.2,0,45.34,1,0,5,0,43.0,0,0,1,1,8,2
40.6,3,50.63,1,0,3,0,45.0,1,3,0,1,8,2
18.0,3,29.83,1,0,1,1,8.2,0,1,0,1,3,0
37.3,0,56.52,2,0,5,0,36.2,0,1,1,1,3,2
40.1,1,53.7,1,0,5,1,45.0,1,3,1,0,10,2
18.8,3,25.71,0,0,7,0,18.0,1,2,2,0,6,0
22.6,2,30.1,1,0,1,1,23.2,3,0,2,0,5,0
35.8,1,41.35,3,1,4,1,47.6,0,2,1,1,4,2
25.2,0,37.29,0,0,3,0,20.1,0,2,0,0,2,1
22.1,3,42.29,1,0,9,0,9.5,2,0,0,1,8,0
26.2,1,28.03,1,0,2,1,41.8,2,3,3,0,1,1
27.6,1,50.25,3,0,1,1,13.0,1,3,2,1,10,1
42.2,1,49.81,2,0,1,1,53.4,3,3,0,0,1,2
43.8,3,52.05,0,0,3,1,57.4,3,3,1,1,3,2
23.8,0,42.17,0,0,8,0,5.3,1,0,1,0,1,0
19.4,2,31.99,3,1,0,1,6.4,1,3,0,0,7,0
37.5,0,43.31,4,1,3,0,55.2,0,2,2,1,4,2
33.3,1,59.04,0,0,3,0,8.3,0,1,2,1,3,1
40.3,1,52.16,0,0,5,0,53.0,3,2,3,1,4,2
32.3,1,33.3,2,0,6,1,46.4,3,2,1,0,4,1
21.8,1,29.9,2,0,0,0,23.1,3,0,3,1,4,0
28.3,1,55.08,1,0,6,0,5.5,2,1,2,1,8,1
24.5,2,28.29,1,0,5,1,30.1,2,3,2,1,5,0
23.7,0,36.84,3,1,6,0,12.5,2,0,3,0,10,0
32.7,1,35.63,2,0,1,1,46.9,1,3,0,0,8,1
16.4,3,28.87,4,0,6,1,11.9,2,1,1,0,3,0
46.5,1,58.95,3,0,1,0,59.8,3,2,1,1,7,2
22.0,3,24.34,2,0,8,0,35.5,0,3,0,0,2,0
22.4,2,22.4,3,0,1,0,40.7,1,0,2,1,4,0
31.8,2,59.23,1,1,6,1,12.8,1,3,1,0,7,1
40.7,1,43.45,1,0,6,0,56.8,0,0,0,0,10,2
47.3,3,59.63,2,1,0,1,54.5,0,3,1,0,7,2
28.7,0,45.76,2,0,4,0,17.4,1,3,3,0,10,1
37.6,1,47.97,0,0,4,0,47.5,3,0,0,0,2,2
38.1,3,44.26,3,1,3,1,59.5,3,1,2,1,7,2
23.8,2,27.68,2,1,4,0,38.3,2,0,1,0,10,0
38.7,2,55.96,2,0,7,1,30.1,2,3,0,1,8,2
23.7,0,35.95,0,0,5,0,15.2,2,3,3,0,5,0
22.5,3,32.91,0,0,8,0,25.1,0,3,1,1,2,0
26.1,1,25.82,4,1,0,1,43.9,3,2,1,0,6,1
24.1,0,32.69,3,1,5,1,24.4,1,1,0,1,7,0
43.0,3,53.99,1,1,4,1,50.0,1,3,3,0,8,2
40.5,3,48.0,0,1,4,1,58.0,1,3,2,1,8,2
35.8,2,43.94,3,1,0,1,51.0,2,1,3,1,10,2
25.4,2,39.88,0,0,9,1,20.6,0,2,0,0,1,1
29.2,3,32.48,2,0,8,1,48.4,3,1,0,1,3,1
22.6,1,25.85,4,1,2,1,32.8,1,0,1,1,6,0
39.3,2,52.56,0,0,6,1,42.8,1,1,3,0,10,2
29.4,2,38.92,1,0,9,1,39.1,0,2,1,1,4,1
43.8,1,52.56,3,0,5,1,54.7,3,2,0,0,10,2
29.9,0,57.08,1,1,0,1,6.6,0,3,3,1,6,1
29.9,3,49.42,1,0,7,1,16.7,0,1,0,0,1,1
21.6,0,21.46,0,1,2,1,31.3,2,0,2,0,4,0
29.8,0,31.08,1,1,3,1,42.3,0,2,0,0,3,1
38.0,0,51.94,1,1,4,0,43.3,3,0,2,0,10,2
35.4,0,52.78,3,0,3,1,23.6,3,1,3,0,4,2
23.1,1,35.72,4,1,4,0,22.9,2,0,2,0,4,0
45.7,0,54.58,0,1,6,1,56.2,3,2,3,0,2,2
30.8,0,30.75,4,1,5,1,46.7,3,1,3,0,10,1
39.0,0,43.44,3,1,4,1,59.2,0,2,3,0,8,2
18.0,0,26.47,2,0,0,0,19.0,1,0,1,1,3,0
21.0,3,38.08,1,1,3,0,8.1,1,3,1,0,3,0
43.8,3,58.47,3,1,9,0,44.1,0,2,3,1,4,2
16.8,2,25.53,1,1,2,0,7.6,0,2,3,0,1,0
28.9,0,39.33,4,0,6,1,36.2,2,2,3,1,8,1
33.2,2,54.81,2,1,2,1,16.5,3,1,0,1,6,1
43.3,2,56.13,4,1,8,0,45.5,2,1,3,1,8,2
27.5,0,48.65,1,1,0,0,12.5,0,1,3,0,6,1
31.6,3,36.07,3,1,5,0,45.3,0,0,1,0,7,1
39.9,1,59.51,4,1,7,0,32.4,2,3,2,0,5,2
31.8,1,49.68,3,1,9,0,25.7,0,2,3,0,4,1
32.4,3,57.1,1,0,9,0,15.2,2,3,1,1,1,1
30.8,1,49.74,2,0,4,0,17.1,0,0,3,0,3,1
33.6,3,47.35,4,1,5,1,37.6,3,2,3,1,7,1
18.0,1,20.1,2,0,2,0,32.1,3,0,0,1,3,0
24.2,2,41.46,1,0,0,0,7.7,3,2,3,1,3,0
29.3,3,32.71,2,0,4,0,41.0,3,0,1,1,6,1
22.8,3,40.89,3,1,1,1,9.7,3,0,1,0,3,0
36.1,0,42.21,1,0,9,0,54.8,1,2,1,0,4,2
24.2,2,24.83,0,0,9,0,45.8,1,1,3,0,2,0
37.7,1,44.73,4,0,6,0,52.0,1,0,0,0,7,2
25.9,1,37.13,4,1,7,1,19.5,2,2,0,0,10,1
25.5,1,37.58,2,0,3,1,23.3,0,0,1,0,5,1
46.2,2,57.79,3,1,5,1,56.8,2,2,2,1,3,2
21.1,3,36.29,0,1,7,1,8.5,3,3,2,0,5,0
37.1,0,54.19,4,0,6,1,33.7,0,0,0,1,7,2
17.9,3,26.5,0,1,9,0,13.8,3,2,2,1,10,0
34.7,0,55.76,1,0,4,0,27.5,1,2,2,1,6,1
42.3,1,58.03,4,1,9,1,42.7,3,1,0,1,8,2
27.0,0,31.27,0,0,0,0,43.7,2,1,2,0,3,1
18.0,0,22.69,2,1,9,1,26.7,1,3,2,1,4,0
24.8,0,32.51,3,0,7,1,31.5,1,1,2,1,6,0
37.6,3,46.69,1,0,9,1,52.8,1,3,1,1,2,2
36.3,1,53.62,2,0,6,0,27.0,2,1,3,0,4,2
22.0,2,20.13,1,1,9,1,42.5,3,2,0,0,7,0
23.2,2,25.96,1,0,4,0,31.8,3,0,2,1,1,0
43.5,1,49.56,0,1,8,0,55.8,3,0,2,0,3,2
33.3,3,40.91,4,0,7,1,47.3,1,3,0,1,2,1
28.4,3,31.75,1,1,2,0,35.6,1,2,3,0,4,1
40.5,0,53.37,2,1,4,0,42.7,1,2,0,0,10,2
32.6,2,35.98,2,0,8,0,48.9,0,3,0,0,5,1
22.3,3,36.0,2,1,7,1,8.4,2,3,0,1,6,0
37.5,0,49.9,2,0,5,1,38.0,3,2,0,1,6,2
15.6,0,21.62,4,1,6,1,13.3,2,0,2,0,1,0
43.2,2,52.74,2,1,1,0,59.7,2,2,3,1,6,2
39.7,3,51.6,3,0,6,1,49.2,3,0,2,1,5,2
44.6,2,59.59,3,0,7,1,49.8,1,2,3,1,5,2
38.6,0,49.24,4,1,5,1,41.5,3,3,2,1,7,2
12.2,3,23.24,3,1,6,0,6.9,0,3,2,1,4,0
32.9,3,39.92,0,1,6,0,48.7,0,3,0,0,8,1
33.3,3,45.61,1,1,5,1,29.8,0,0,1,0,6,1
27.9,1,42.24,0,0,2,1,28.9,2,2,2,1,2,1
26.6,2,44.11,1,0,5,0,12.8,0,3,1,1,7,1
35.9,3,38.6,2,1,5,0,50.8,0,2,3,0,5,2
22.9,2,26.68,1,1,9,0,30.2,1,1,1,1,8,0
21.0,2,27.68,2,0,9,1,22.9,2,3,1,1,10,0
32.3,1,28.74,2,0,2,1,59.8,1,0,1,0,6,1
16.2,0,27.29,3,0,1,1,7.1,3,0,3,1,3,0
28.0,0,24.57,0,1,8,0,49.4,1,1,2,1,6,1
20.1,3,36.43,1,0,6,1,8.9,1,1,0,1,6,0
33.8,1,55.51,1,1,4,0,23.0,3,0,0,1,6,1
24.9,0,46.11,4,1,6,0,7.8,2,1,3,0,1,0
18.4,1,29.86,1,1,2,1,17.0,1,2,1,0,3,0
32.7,0,40.02,1,0,9,1,41.6,0,0,1,1,6,1
21.1,3,27.66,1,0,2,0,30.0,3,3,3,0,7,0
22.9,1,26.94,0,1,3,1,27.1,0,1,1,0,10,0
16.3,1,24.9,1,0,7,1,11.5,0,3,1,1,3,0
31.3,0,43.74,0,0,1,1,33.9,3,3,2,0,5,1
23.1,3,31.13,2,1,8,1,27.6,1,2,0,1,1,0
27.5,3,40.64,2,0,3,1,28.7,2,0,3,0,6,1
13.9,3,20.08,0,1,4,0,12.4,3,1,0,0,6,0
15.2,0,29.97,2,0,8,0,5.3,2,3,1,1,6,0
21.1,1,33.95,0,1,8,0,11.1,3,0,1,1,6,0
45.7,2,58.68,1,0,4,0,49.4,1,3,1,0,6,2
12.9,0,21.23,1,1,6,0,8.6,0,1,1,1,2,0
22.1,3,29.2,1,0,9,1,29.1,0,0,2,0,3,0
31.8,2,37.58,0,1,5,1,47.9,0,2,1,0,5,1
37.6,0,44.89,2,1,3,1,56.3,3,3,1,0,10,2
36.6,1,38.04,3,0,4,1,59.4,3,0,1,1,7,2
24.1,0,36.21,1,1,8,1,20.4,2,0,3,0,8,0
25.3,2,20.15,2,1,2,1,44.3,0,0,2,0,8,1
35.7,2,42.34,4,0,6,0,49.9,3,0,1,0,2,2
27.5,0,38.55,0,0,1,0,23.8,0,3,1,0,10,1
40.9,3,48.83,0,0,2,1,59.6,1,3,0,1,5,2
17.0,3,26.35,4,0,2,1,8.7,0,0,0,0,8,0
28.8,0,45.92,4,1,5,1,20.6,0,0,0,0,2,1
37.4,2,36.58,3,0,8,0,58.6,2,2,1,1,7,2
19.1,1,27.73,3,0,2,1,23.5,0,1,0,0,6,0
30.6,3,25.31,0,0,2,0,59.5,2,3,0,0,2,1
22.8,1,33.21,3,1,1,1,14.8,3,2,0,1,10,0
40.9,0,55.25,0,0,9,1,43.5,2,1,0,0,3,2
28.1,3,21.4,4,0,4,0,54.7,3,0,3,1,2,1
22.5,1,35.29,4,0,7,0,22.4,2,3,1,0,2,0
28.5,1,25.69,1,1,3,0,54.5,1,0,3,1,5,1
28.7,2,33.08,0,1,8,0,37.4,3,2,3,0,10,1
37.8,2,53.69,2,0,7,1,41.9,1,3,1,1,2,2
33.6,2,50.59,2,0,2,0,33.3,1,1,0,1,8,1
38.7,1,51.25,0,1,8,0,43.3,3,1,2,1,3,2
21.8,1,35.22,4,0,5,1,8.3,3,1,3,1,2,0
38.7,2,57.8,1,1,0,0,38.5,1,3,0,1,2,2
17.8,1,28.18,0,0,4,1,6.5,0,2,1,1,4,0
16.8,0,28.64,0,1,8,0,13.1,2,0,2,0,2,0
26.1,0,37.3,0,1,7,1,18.2,3,3,3,1,4,1
34.2,0,47.1,2,0,5,1,29.3,1,3,1,1,5,1
25.3,0,24.97,3,0,0,1,36.5,0,1,2,1,7,1
30.2,1,51.75,0,0,8,0,14.2,2,0,0,0,6,1
23.1,0,30.08,4,0,8,1,23.7,3,0,3,1,8,0
16.7,2,27.5,4,0,7,0,10.8,1,1,0,1,10,0
45.5,3,56.24,2,0,2,1,57.6,3,1,0,1,7,2
24.5,0,34.29,3,0,5,1,19.5,2,2,2,0,7,0
23.7,0,33.54,3,1,0,1,20.7,2,3,0,0,10,0
42.4,2,58.64,4,1,5,0,48.8,2,3,3,0,5,2
17.9,1,27.26,0,0,0,1,8.2,3,2,3,1,2,0
14.3,3,23.18,2,1,7,1,12.6,0,3,0,1,10,0
41.9,0,49.02,4,0,1,1,51.5,0,2,1,1,3,2
11.6,3,23.24,4,1,8,1,5.5,2,1,0,1,10,0
17.5,1,27.5,0,0,0,1,10.3,1,2,0,0,6,0
38.9,1,53.17,4,1,5,1,43.5,1,3,3,1,3,2
23.3,0,40.51,1,0,6,0,14.8,0,1,0,1,6,0
29.0,2,47.49,0,0,1,1,15.4,3,2,1,0,5,1
41.7,0,57.36,3,1,6,1,37.7,2,1,0,0,3,2
45.5,3,58.53,1,0,6,1,53.8,2,3,0,0,2,2
24.7,1,36.79,4,1,8,1,25.8,2,2,2,1,6,0
24.7,3,26.7,0,0,1,1,42.8,0,2,1,0,8,0
22.1,2,33.15,1,1,8,1,17.7,2,3,3,0,2,0
34.2,1,54.18,2,1,4,1,24.9,2,0,2,1,4,1
14.6,0,21.38,3,0,7,1,7.0,2,2,2,0,2,0
29.4,3,20.81,0,1,2,1,58.8,0,1,0,0,3,1
27.0,0,32.8,1,0,4,1,31.4,1,2,1,0,6,1
24.7,0,21.9,0,0,9,0,44.7,1,3,1,0,6,0
